name,lat,lon,place_type,population
Nailou Village,-16.4850614,179.8938889,village,
Salia Village,-16.5130414,179.8493568,village,
Natewa Village,-16.5920986,179.7343343,village,
Dawa Village,-16.6044908,179.7193585,village,
Drekeniwai Village,-16.6723956,179.677792,village,
Vuna Village,-16.970664,179.8943761,village,
Nanenivuda Village,-16.5231689,179.1634763,village,
Naravuka Village,-16.6109597,179.0991261,village,
Batiri Village,-16.6056468,179.0350489,village,
Welagi Village,-16.7349032,-179.9411131,village,
Momi,-17.9131231,177.2852248,village,
Korolevu,-18.2140676,177.7305987,village,
Narata Village,-17.9687246,177.5463094,village,
Rarabahaga,-17.9614428,177.6432575,village,
Navula,-17.9273111,177.7260099,village,
Nakorosule,-17.7745562,178.2510757,village,
Taulevu,-17.8268117,178.2934439,village,
Nairukuruku,-17.8140081,178.2853924,village,
Waibalavu,-17.7662572,178.2349192,village,
Nawaisomo,-17.7290372,178.20844,village,
Nabena,-17.8215671,178.3161753,village,
Navuniyasi,-17.7953726,178.2643889,village,
Matailobau,-17.8187983,178.3095638,village,
Delaitoga,-17.827082,178.3128585,village,
Nakida,-17.7033556,178.239375,village,
Lokia,-18.0903382,178.5526781,village,
Yaro,-17.7351668,177.1756238,village,
Solevu,-17.7453594,177.1829532,village,
Cuvu Top,-18.1111505,177.4046142,village,
Togovere,-18.1044726,177.4178516,village,
Tulasewa,-18.0443643,177.4301331,village,
Vavinaqiri,-18.0373832,177.3679935,village,
Kabisi,-18.0582131,177.3703817,village,
Nalele,-18.0538878,177.3812389,village,
Dayala,-18.063095,177.3747583,village,
Togobula,-18.0515382,177.3264203,village,
Basiri,-18.0735383,177.3213723,village,
Vuhama,-18.0799701,177.3149588,village,
Navihabahaba,-18.084211,177.3290239,village,
Nalele,-18.0869724,177.3456649,village,
Nahoho,-18.12544,177.3599273,village,
Vunatovau,-18.0959909,177.4837515,village,
Silivalevu,-18.0736512,177.4856735,village,
Naduri,-18.0813378,177.5611493,village,
Gunu,-17.08819,177.2443869,village,
Dreketi,-17.5606828,178.274565,village,
Dobuilevu Agricultural Station,-17.5611212,178.2463392,village,
Rokovuaka,-17.6376597,178.2600509,village,
Barotu,-17.4874493,178.2391598,village,
Vunisea,-17.490597,178.1396573,village,
Nadavacia,-17.5399714,178.3612187,village,
Saioko,-17.5412421,178.3733333,village,
Vitadra Village,-16.436668,179.3992154,village,
Nuku,-19.0722129,178.1595497,village,
Naikorokoro,-18.9796924,178.1994011,village,
Naqavetini,-18.9782403,178.2064475,hamlet,
Daku,-18.9622841,178.2778167,village,
Nasososo,-18.9419753,178.3702163,hamlet,
Yaro,-18.9435238,178.3727546,hamlet,
Qaraloa,-18.9499516,178.3754334,hamlet,
Ucuinaisausau,-18.9486752,178.3800166,hamlet,
Lawaki,-18.9841411,178.4076937,village,
Vunivaivai,-18.9836133,178.4215111,village,
Namuanaira,-18.9728177,178.4304104,village,
Naidiri,-18.9683931,178.4266885,hamlet,
Solotina,-18.9614913,178.4408397,village,
Soso,-19.0122774,178.3204882,village,
Yavitu,-19.0078986,178.3159424,village,
Wabole,-17.7146873,178.7724075,hamlet,
Tai,-17.7135729,178.7667296,hamlet,
Naiviteitei,-17.7101205,178.7636505,village,
Vatu,-17.7050071,178.7711943,hamlet,
Wainiveli,-17.7064371,178.7747949,hamlet,
unnamed,-17.7029207,178.7758761,hamlet,
unnamed,-17.7001534,178.7810216,hamlet,
unnamed,-17.6982674,178.7868021,hamlet,
Vuniivasavu,-17.6902983,178.7935583,village,
Nasaumatua,-17.6893698,178.791241,village,
Wainaloka,-17.7329714,178.7742336,village,
Visoto,-17.726861,178.8051005,village,
Nacobo,-17.7235908,178.803918,village,
Nukutocia,-17.7279194,178.7923026,village,
Buresala,-17.6803664,178.7464009,hamlet,
Waidau,-17.6909424,178.7479633,hamlet,
Nasinu,-17.713541,178.8320283,village,
Naikorokoro,-17.7011914,178.8337195,village,
Nasova,-17.6995588,178.8331197,hamlet,
Naqeledamudamu,-17.7435396,178.775217,hamlet,
Yanuca,-17.7653044,178.7811776,village,
Nukuni,-20.6635977,-178.721554,village,133
