ADM3_PCODE,ADM3_EN,ADM2_PCODE,ADM2_EN,ADM1_PCODE,ADM1_EN,ADM0_PCODE,ADM0_EN,M_00_04,F_00_04,T_00_04,M_05_09,F_05_09,T_05_09,M_10_14,F_10_14,T_10_14,M_15_19,F_15_19,T_15_19,M_20_24,F_20_24,T_20_24,M_25_29,F_25_29,T_25_29,M_30_34,F_30_34,T_30_34,M_35_39,F_35_39,T_35_39,M_40_44,F_40_44,T_40_44,M_45_49,F_45_49,T_45_49,M_50_54,F_50_54,T_50_54,M_55_59,F_55_59,T_55_59,M_60_64,F_60_64,T_60_64,M_65_69,F_65_69,T_65_69,M_70_74,F_70_74,T_70_74,M_75_79,F_75_79,T_75_79,M_80_84,F_80_84,T_80_84,M_85_89,F_85_89,T_85_89,M_90_94,F_90_94,T_90_94,M_95Plus,F_95Plus,T_95Plus,M_TL,F_TL,T_TL
FJ10203,Wainunu,FJ102,Bua ,FJ1,Northern,FJ,Fiji Islands,331,279,610,279,304,583,282,270,552,183,160,343,150,126,276,172,132,304,174,150,324,154,136,290,122,98,220,106,96,202,125,107,232,103,74,177,79,59,138,46,40,86,41,29,70,21,24,45,9,14,23,4,9,13,0,4,4,0,0,0,2381,2111,4492
FJ10301,Cakaudrove,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands,967,896,1863,954,924,1878,838,735,1573,748,719,1467,482,379,861,511,462,973,621,471,1092,533,462,995,485,352,837,382,349,731,390,306,696,303,263,566,233,168,401,151,144,295,89,92,181,50,47,97,30,31,61,6,19,25,1,5,6,0,1,1,7774,6825,14599
FJ10302,Nasavusavu,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands,750,734,1484,668,647,1315,596,599,1195,502,524,1026,447,402,849,485,459,944,500,460,960,474,433,907,433,340,773,379,338,717,403,333,736,284,254,538,211,198,409,132,130,262,100,122,222,53,75,128,26,37,63,15,24,39,5,6,11,7,7,14,6470,6122,12592
FJ10303,Rabi,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands,140,159,299,150,162,312,153,118,271,93,79,172,69,54,123,88,73,161,69,76,145,93,85,178,89,58,147,54,56,110,59,62,121,46,53,99,31,52,83,29,23,52,16,15,31,7,17,24,2,3,5,0,1,1,0,0,0,0,0,0,1188,1146,2334
FJ10304,Saqani,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands,131,154,285,124,107,231,106,110,216,65,59,124,57,66,123,68,73,141,77,57,134,67,50,117,65,65,130,44,45,89,63,53,116,63,38,101,30,34,64,30,34,64,25,25,50,14,9,23,5,8,13,3,7,10,0,3,3,0,0,0,1037,997,2034
FJ10305,Tunuloa,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands,287,248,535,235,235,470,218,219,437,155,139,294,137,111,248,150,118,268,139,139,278,115,108,223,140,103,243,94,91,185,94,68,162,80,66,146,66,63,129,41,41,82,22,37,59,23,29,52,5,9,14,4,11,15,0,0,0,2,1,3,2007,1836,3843
FJ10306,Vaturova,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands,254,246,500,244,216,460,237,210,447,166,159,325,144,137,281,143,133,276,164,130,294,141,143,284,141,93,234,116,111,227,135,93,228,119,92,211,63,76,139,50,62,112,39,47,86,25,27,52,19,11,30,2,5,7,0,2,2,1,0,1,2203,1993,4196
FJ10307,Wailevu,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands,396,389,785,384,358,742,382,326,708,348,340,688,206,153,359,178,214,392,205,175,380,188,193,381,180,169,349,169,165,334,160,158,318,168,133,301,124,100,224,74,81,155,63,51,114,39,46,85,13,16,29,3,11,14,1,3,4,0,1,1,3281,3082,6363
FJ10308,Wainikeli,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands,343,285,628,289,301,590,254,244,498,141,94,235,170,125,295,163,163,326,163,169,332,153,131,284,137,126,263,126,124,250,107,105,212,108,75,183,72,54,126,52,49,101,42,52,94,20,16,36,5,17,22,4,5,9,0,2,2,0,0,0,2349,2137,4486
FJ30401,Nabukelevu,FJ304,Kadavu,FJ3,Eastern,FJ,Fiji Islands,196,180,376,172,181,353,111,139,250,57,10,67,95,50,145,132,115,247,103,89,192,106,82,188,77,61,138,79,49,128,60,60,120,72,40,112,44,54,98,47,29,76,25,21,46,15,13,28,5,11,16,5,6,11,0,0,0,0,0,0,1401,1190,2591
FJ30402,Naceva,FJ304,Kadavu,FJ3,Eastern,FJ,Fiji Islands,121,99,220,119,103,222,103,90,193,47,20,67,74,36,110,85,62,147,70,74,144,73,45,118,54,46,100,46,33,79,57,50,107,37,33,70,44,23,67,26,23,49,24,12,36,13,8,21,3,6,9,3,3,6,0,1,1,0,0,0,999,767,1766
FJ30403,Nakasaleka,FJ304,Kadavu,FJ3,Eastern,FJ,Fiji Islands,165,141,306,141,159,300,142,126,268,99,77,176,99,65,164,107,88,195,109,86,195,98,65,163,88,67,155,71,40,111,68,47,115,57,39,96,44,34,78,33,25,58,31,21,52,11,16,27,10,4,14,2,3,5,0,1,1,0,0,0,1375,1104,2479
FJ30404,Tavuki,FJ304,Kadavu,FJ3,Eastern,FJ,Fiji Islands,290,260,550,251,228,479,247,190,437,208,187,395,132,101,233,151,125,276,170,144,314,152,140,292,110,73,183,89,71,160,92,84,176,99,71,170,81,53,134,45,44,89,39,33,72,20,15,35,14,14,28,3,6,9,0,1,1,0,0,0,2193,1840,4033
FJ30501,Cicia,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands,59,53,112,66,62,128,70,49,119,67,47,114,30,17,47,34,31,65,31,27,58,27,32,59,26,17,43,28,26,54,28,28,56,29,28,57,23,13,36,15,13,28,9,10,19,6,7,13,6,5,11,6,2,8,0,1,1,0,0,0,560,468,1028
FJ30502,Kabara,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands,44,27,71,57,52,109,49,34,83,11,9,20,23,9,32,21,23,44,26,28,54,30,14,44,14,14,28,10,22,32,22,12,34,15,15,30,18,9,27,11,7,18,2,5,7,7,6,13,4,1,5,3,2,5,0,0,0,0,0,0,367,289,656
FJ30503,Lakeba,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands,81,87,168,97,87,184,86,87,173,78,64,142,54,46,100,58,45,103,46,39,85,57,53,110,36,37,73,54,34,88,49,45,94,53,45,98,29,18,47,25,14,39,8,10,18,7,13,20,2,4,6,3,5,8,0,1,1,0,0,0,823,734,1557
FJ30504,Lomaloma,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands,49,48,97,70,58,128,47,49,96,41,37,78,19,18,37,33,24,57,16,22,38,32,33,65,23,20,43,22,30,52,37,27,64,28,26,54,22,10,32,13,14,27,10,10,20,10,4,14,6,4,10,1,2,3,0,0,0,0,0,0,479,436,915
FJ30505,Matuku,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands,27,35,62,29,33,62,48,31,79,10,5,15,17,12,29,16,12,28,18,20,38,15,16,31,9,5,14,13,17,30,14,12,26,18,15,33,15,10,25,9,10,19,7,7,14,4,5,9,3,2,5,1,0,1,1,1,2,0,0,0,274,248,522
FJ30506,Moala,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands,90,83,173,107,94,201,83,68,151,60,47,107,44,36,80,50,40,90,41,38,79,44,39,83,37,33,70,53,40,93,54,38,92,40,11,51,19,18,37,14,13,27,11,11,22,9,7,16,1,4,5,1,3,4,2,0,2,0,0,0,760,623,1383
FJ30507,Moce,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands,22,25,47,27,31,58,28,28,56,8,5,13,12,13,25,12,12,24,17,14,31,12,15,27,14,7,21,14,9,23,14,14,28,12,9,21,6,8,14,8,8,16,2,2,4,3,6,9,1,7,8,2,1,3,0,0,0,0,0,0,214,214,428
FJ30508,Mualevu,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands,36,41,77,46,47,93,36,47,83,31,22,53,18,18,36,26,23,49,30,16,46,27,34,61,28,16,44,28,23,51,29,21,50,23,29,52,24,16,40,13,21,34,23,9,32,10,11,21,6,5,11,3,2,5,0,0,0,0,0,0,437,401,838
FJ30509,Nayau,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands,19,18,37,18,14,32,20,11,31,6,5,11,6,5,11,11,12,23,13,11,24,8,8,16,8,8,16,11,11,22,8,8,16,6,8,14,11,2,13,5,5,10,4,4,8,1,1,2,2,1,3,1,3,4,0,0,0,0,0,0,158,135,293
