ADM3_PCODE,ADM3_EN,ADM2_PCODE,ADM2_EN,ADM1_PCODE,ADM1_EN,ADM0_PCODE,ADM0_EN,M_00_04,F_00_04,T_00_04,M_05_09,F_05_09,T_05_09,M_10_14,F_10_14,T_10_14,M_15_19,F_15_19,T_15_19,M_20_24,F_20_24,T_20_24,M_25_29,F_25_29,T_25_29,M_30_34,F_30_34,T_30_34,M_35_39,F_35_39,T_35_39,M_40_44,F_40_44,T_40_44,M_45_49,F_45_49,T_45_49,M_50_54,F_50_54,T_50_54,M_55_59,F_55_59,T_55_59,M_60_64,F_60_64,T_60_64,M_65_69,F_65_69,T_65_69,M_70_74,F_70_74,T_70_74,M_75_79,F_75_79,T_75_79,M_80_84,F_80_84,T_80_84,M_85_89,F_85_89,T_85_89,M_90_94,F_90_94,T_90_94,M_95Plus,F_95Plus,T_95Plus,M_TL,F_TL,T_TL
FJ10705,Sasa,FJ107,Macuata,FJ1,Northern,FJ,Fiji Islands,305,279,584,281,274,555,284,260,544,241,205,446,212,144,356,176,145,321,182,168,350,182,162,344,173,143,316,169,148,317,164,136,300,105,106,211,79,81,160,48,59,107,29,42,71,16,32,48,10,16,26,5,6,11,0,2,2,1,1,2,2662,2409,5071
FJ20801,Baravi,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands,474,446,920,457,445,902,386,383,769,323,318,641,330,316,646,317,294,611,328,319,647,308,293,601,280,230,510,237,242,479,230,248,478,214,204,418,129,128,257,103,95,198,56,62,118,37,46,83,11,21,32,8,14,22,0,0,0,0,0,0,4228,4104,8332
FJ20802,Cuvu,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands,405,376,781,374,340,714,341,336,677,290,232,522,289,272,561,271,273,544,290,274,564,298,269,567,228,191,419,192,208,400,249,216,465,179,176,355,125,149,274,94,104,198,50,68,118,37,38,75,12,10,22,2,4,6,0,2,2,0,0,0,3726,3538,7264
FJ20803,Malolo,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands,123,115,238,119,109,228,72,83,155,55,36,91,182,150,332,246,146,392,332,157,489,226,142,368,165,94,259,155,71,226,106,91,197,62,46,108,21,36,57,21,17,38,6,10,16,4,9,13,2,2,4,0,0,0,0,0,0,0,0,0,1897,1314,3211
FJ20804,Malomalo,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands,733,752,1485,759,689,1448,707,637,1344,591,608,1199,547,529,1076,633,549,1182,574,581,1155,634,534,1168,488,481,969,507,436,943,532,434,966,451,435,886,314,281,595,222,234,456,139,162,301,77,99,176,38,54,92,11,22,33,2,4,6,3,1,4,7962,7522,15484
FJ20805,Nasigatoka,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands,755,786,1541,709,717,1426,604,607,1211,572,531,1103,558,584,1142,521,576,1097,598,560,1158,547,567,1114,450,408,858,437,398,835,424,391,815,349,320,669,229,273,502,180,185,365,108,151,259,65,79,144,24,38,62,11,18,29,2,6,8,0,0,0,7143,7195,14338
FJ20806,Navosa,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands,356,299,655,310,272,582,251,248,499,169,160,329,164,158,322,177,189,366,228,215,443,209,173,382,166,138,304,160,121,281,127,127,254,101,103,204,87,96,183,68,53,121,42,50,92,24,25,49,12,14,26,4,5,9,2,2,4,0,1,1,2657,2449,5106
FJ20807,Ruwailevu,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands,232,229,461,261,235,496,257,258,515,187,167,354,148,138,286,136,156,292,159,139,298,183,158,341,144,114,258,131,125,256,128,107,235,111,105,216,72,78,150,60,72,132,48,34,82,14,20,34,8,7,15,1,8,9,0,0,0,0,0,0,2280,2150,4430
FJ20808,Vatulele,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands,55,40,95,55,47,102,51,48,99,6,2,8,22,15,37,13,22,35,19,17,36,31,32,63,21,26,47,21,20,41,38,31,69,23,29,52,23,21,44,11,10,21,6,7,13,2,3,5,2,2,4,2,1,3,0,1,1,0,0,0,401,374,775
FJ40901,Lomaivuna,FJ409,Naitasiri,FJ4,Central,FJ,Fiji Islands,404,321,725,361,309,670,292,279,571,244,242,486,173,170,343,171,169,340,212,226,438,184,158,342,150,132,282,152,113,265,120,151,271,130,91,221,74,89,163,63,65,128,39,39,78,20,32,52,13,14,27,3,7,10,0,2,2,0,0,0,2805,2609,5414
